2023-02-01 23:05:34.176 [main] INFO  pk.Game - ------------------------------ round 9 ------------------------------
2023-02-01 23:05:34.177 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.177 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.177 [main] INFO  pk.Game - Initial roll: [PARROT, DIAMOND, GOLD, SKULL, SABER, PARROT, GOLD, SKULL]
2023-02-01 23:05:34.177 [main] INFO  pk.Game - The number of skulls is: 2
2023-02-01 23:05:34.177 [main] INFO  pk.Game - player decide to Hold: [PARROT, GOLD, SKULL, PARROT, GOLD, SKULL]
2023-02-01 23:05:34.177 [main] INFO  pk.Game - player decide to Reroll: [DIAMOND, SABER]
2023-02-01 23:05:34.177 [main] INFO  pk.Game - After reroll: [PARROT, GOLD, SKULL, PARROT, GOLD, SKULL, MONKEY, MONKEY]
2023-02-01 23:05:34.177 [main] INFO  pk.Game - Player 1 round score of round 9: 200
2023-02-01 23:05:34.177 [main] INFO  pk.Game - Player 1 total score: 2500
2023-02-01 23:05:34.177 [main] INFO  pk.Game -  
2023-02-01 23:05:34.177 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.177 [main] INFO  pk.Game - Player 2 card: MONKEYBUSINESS
2023-02-01 23:05:34.177 [main] INFO  pk.Game - Initial roll: [SABER, SABER, PARROT, SKULL, MONKEY, PARROT, DIAMOND, DIAMOND]
2023-02-01 23:05:34.177 [main] INFO  pk.Game - After reroll: [GOLD, MONKEY, SKULL, SKULL, PARROT, SABER, SABER, DIAMOND]
2023-02-01 23:05:34.178 [main] INFO  pk.Game - Player 2 round score of round 9: 200
2023-02-01 23:05:34.178 [main] INFO  pk.Game - Player 2 total score: 2600
2023-02-01 23:05:34.178 [main] INFO  pk.Game - ------------------------------ round 10 ------------------------------
2023-02-01 23:05:34.178 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.178 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.178 [main] INFO  pk.Game - Initial roll: [DIAMOND, MONKEY, DIAMOND, DIAMOND, PARROT, PARROT, MONKEY, SABER]
2023-02-01 23:05:34.178 [main] INFO  pk.Game - The number of skulls is: 0
2023-02-01 23:05:34.178 [main] INFO  pk.Game - player decide to Hold: [DIAMOND, MONKEY, DIAMOND, DIAMOND, PARROT, PARROT, MONKEY]
2023-02-01 23:05:34.178 [main] INFO  pk.Game - player decide to Reroll: [SABER]
2023-02-01 23:05:34.178 [main] INFO  pk.Game - After reroll: [DIAMOND, MONKEY, DIAMOND, DIAMOND, PARROT, PARROT, MONKEY, SABER]
2023-02-01 23:05:34.178 [main] INFO  pk.Game - Player 1 round score of round 10: 400
2023-02-01 23:05:34.178 [main] INFO  pk.Game - Player 1 total score: 2900
2023-02-01 23:05:34.178 [main] INFO  pk.Game -  
2023-02-01 23:05:34.179 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.179 [main] INFO  pk.Game - Player 2 card: NOP
2023-02-01 23:05:34.179 [main] INFO  pk.Game - Initial roll: [DIAMOND, GOLD, SABER, PARROT, SABER, DIAMOND, SABER, MONKEY]
2023-02-01 23:05:34.179 [main] INFO  pk.Game - After reroll: [SKULL, SABER, MONKEY, GOLD, MONKEY, SKULL, MONKEY, SKULL]
2023-02-01 23:05:34.179 [main] INFO  pk.Game - Player 2 round score of round 10: 0
2023-02-01 23:05:34.179 [main] INFO  pk.Game - Player 2 total score: 2600
2023-02-01 23:05:34.179 [main] INFO  pk.Game - ------------------------------ round 11 ------------------------------
2023-02-01 23:05:34.179 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.179 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.179 [main] INFO  pk.Game - Initial roll: [GOLD, SABER, DIAMOND, DIAMOND, MONKEY, DIAMOND, GOLD, GOLD]
2023-02-01 23:05:34.179 [main] INFO  pk.Game - The number of skulls is: 0
2023-02-01 23:05:34.180 [main] INFO  pk.Game - player decide to Hold: [GOLD, DIAMOND, DIAMOND, DIAMOND, GOLD, GOLD]
2023-02-01 23:05:34.180 [main] INFO  pk.Game - player decide to Reroll: [SABER, MONKEY]
2023-02-01 23:05:34.180 [main] INFO  pk.Game - After reroll: [GOLD, DIAMOND, DIAMOND, DIAMOND, GOLD, GOLD, PARROT, GOLD]
2023-02-01 23:05:34.180 [main] INFO  pk.Game - Player 1 round score of round 11: 1000
2023-02-01 23:05:34.180 [main] INFO  pk.Game - Player 1 total score: 3900
2023-02-01 23:05:34.180 [main] INFO  pk.Game -  
2023-02-01 23:05:34.180 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.180 [main] INFO  pk.Game - Player 2 card: NOP
2023-02-01 23:05:34.180 [main] INFO  pk.Game - Initial roll: [GOLD, MONKEY, PARROT, SKULL, GOLD, SKULL, SKULL, MONKEY]
2023-02-01 23:05:34.180 [main] INFO  pk.Game - Player 2 round score of round 11: 0
2023-02-01 23:05:34.180 [main] INFO  pk.Game - Player 2 total score: 2600
2023-02-01 23:05:34.180 [main] INFO  pk.Game - ------------------------------ round 12 ------------------------------
2023-02-01 23:05:34.180 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.181 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.181 [main] INFO  pk.Game - Initial roll: [SKULL, MONKEY, PARROT, SKULL, PARROT, DIAMOND, SABER, MONKEY]
2023-02-01 23:05:34.181 [main] INFO  pk.Game - The number of skulls is: 2
2023-02-01 23:05:34.181 [main] INFO  pk.Game - player decide to Hold: [SKULL, MONKEY, PARROT, SKULL, PARROT, MONKEY]
2023-02-01 23:05:34.181 [main] INFO  pk.Game - player decide to Reroll: [DIAMOND, SABER]
2023-02-01 23:05:34.181 [main] INFO  pk.Game - After reroll: [SKULL, MONKEY, PARROT, SKULL, PARROT, MONKEY, GOLD, DIAMOND]
2023-02-01 23:05:34.181 [main] INFO  pk.Game - Player 1 round score of round 12: 200
2023-02-01 23:05:34.181 [main] INFO  pk.Game - Player 1 total score: 4100
2023-02-01 23:05:34.181 [main] INFO  pk.Game -  
2023-02-01 23:05:34.181 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.181 [main] INFO  pk.Game - Player 2 card: SEABATTLE_3
2023-02-01 23:05:34.181 [main] INFO  pk.Game - Initial roll: [MONKEY, SABER, GOLD, PARROT, GOLD, SABER, MONKEY, SKULL]
2023-02-01 23:05:34.182 [main] INFO  pk.Game - After reroll: [GOLD, PARROT, SKULL, PARROT, SABER, GOLD, SKULL, SKULL]
2023-02-01 23:05:34.182 [main] INFO  pk.Game - Player 2 round score of round 12: -500
2023-02-01 23:05:34.182 [main] INFO  pk.Game - Player 2 total score: 2100
2023-02-01 23:05:34.182 [main] INFO  pk.Game - ------------------------------ round 13 ------------------------------
2023-02-01 23:05:34.182 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.182 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.182 [main] INFO  pk.Game - Initial roll: [SKULL, DIAMOND, MONKEY, PARROT, DIAMOND, MONKEY, GOLD, MONKEY]
2023-02-01 23:05:34.182 [main] INFO  pk.Game - The number of skulls is: 1
2023-02-01 23:05:34.182 [main] INFO  pk.Game - player decide to Hold: [SKULL, DIAMOND, MONKEY, DIAMOND, MONKEY, MONKEY]
2023-02-01 23:05:34.182 [main] INFO  pk.Game - player decide to Reroll: [PARROT, GOLD]
2023-02-01 23:05:34.182 [main] INFO  pk.Game - After reroll: [SKULL, DIAMOND, MONKEY, DIAMOND, MONKEY, MONKEY, SKULL, DIAMOND]
2023-02-01 23:05:34.182 [main] INFO  pk.Game - Player 1 round score of round 13: 500
2023-02-01 23:05:34.182 [main] INFO  pk.Game - Player 1 total score: 4600
2023-02-01 23:05:34.182 [main] INFO  pk.Game -  
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Player 2 card: SEABATTLE_4
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Initial roll: [PARROT, SKULL, SKULL, SKULL, PARROT, PARROT, GOLD, MONKEY]
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Player 2 round score of round 13: -1000
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Player 2 total score: 1100
2023-02-01 23:05:34.183 [main] INFO  pk.Game - ------------------------------ round 14 ------------------------------
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Player 1 draw a card: SEABATTLE_2
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Initial roll: [DIAMOND, SKULL, SABER, DIAMOND, PARROT, GOLD, GOLD, MONKEY]
2023-02-01 23:05:34.183 [main] INFO  pk.Game - player decide to Hold: [SKULL, SABER]
2023-02-01 23:05:34.183 [main] INFO  pk.Game - player decide to Reroll: [DIAMOND, DIAMOND, PARROT, GOLD, GOLD, MONKEY]
2023-02-01 23:05:34.183 [main] INFO  pk.Game - After reroll: [SKULL, SABER, MONKEY, SABER, SABER, PARROT, SKULL, GOLD]
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Player 1 round score of round 14: 200
2023-02-01 23:05:34.183 [main] INFO  pk.Game - Player 1 total score: 4800
2023-02-01 23:05:34.184 [main] INFO  pk.Game -  
2023-02-01 23:05:34.184 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.184 [main] INFO  pk.Game - Player 2 card: NOP
2023-02-01 23:05:34.184 [main] INFO  pk.Game - Initial roll: [GOLD, SKULL, PARROT, MONKEY, GOLD, GOLD, PARROT, DIAMOND]
2023-02-01 23:05:34.184 [main] INFO  pk.Game - After reroll: [SABER, SKULL, SABER, MONKEY, SKULL, GOLD, PARROT, PARROT]
2023-02-01 23:05:34.184 [main] INFO  pk.Game - Player 2 round score of round 14: 100
2023-02-01 23:05:34.184 [main] INFO  pk.Game - Player 2 total score: 1200
2023-02-01 23:05:34.184 [main] INFO  pk.Game - ------------------------------ round 15 ------------------------------
2023-02-01 23:05:34.184 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.184 [main] INFO  pk.Game - Player 1 draw a card: MONKEYBUSINESS
2023-02-01 23:05:34.184 [main] INFO  pk.Game - Initial roll: [DIAMOND, SABER, SABER, MONKEY, MONKEY, MONKEY, SABER, MONKEY]
2023-02-01 23:05:34.184 [main] INFO  pk.Game - player decide to Hold: [MONKEY, MONKEY, MONKEY, MONKEY]
2023-02-01 23:05:34.184 [main] INFO  pk.Game - player decide to Reroll: [DIAMOND, SABER, SABER, SABER]
2023-02-01 23:05:34.184 [main] INFO  pk.Game - After reroll: [MONKEY, MONKEY, MONKEY, MONKEY, DIAMOND, SKULL, PARROT, MONKEY]
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Player 1 round score of round 15: 1100
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Player 1 total score: 5900
2023-02-01 23:05:34.185 [main] INFO  pk.Game -  
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Player 2 card: SEABATTLE_4
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Initial roll: [DIAMOND, GOLD, GOLD, MONKEY, GOLD, PARROT, PARROT, GOLD]
2023-02-01 23:05:34.185 [main] INFO  pk.Game - After reroll: [SKULL, MONKEY, DIAMOND, SABER, PARROT, SABER, PARROT, SKULL]
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Player 2 round score of round 15: -1000
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Player 2 total score: 200
2023-02-01 23:05:34.185 [main] INFO  pk.Game - ------------------------------ round 16 ------------------------------
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.185 [main] INFO  pk.Game - Initial roll: [DIAMOND, GOLD, SKULL, GOLD, PARROT, DIAMOND, PARROT, SABER]
2023-02-01 23:05:34.186 [main] INFO  pk.Game - The number of skulls is: 1
2023-02-01 23:05:34.186 [main] INFO  pk.Game - player decide to Hold: [DIAMOND, GOLD, SKULL, GOLD, PARROT, DIAMOND, PARROT]
2023-02-01 23:05:34.186 [main] INFO  pk.Game - player decide to Reroll: [SABER]
2023-02-01 23:05:34.186 [main] INFO  pk.Game - After reroll: [DIAMOND, GOLD, SKULL, GOLD, PARROT, DIAMOND, PARROT, SABER]
2023-02-01 23:05:34.186 [main] INFO  pk.Game - Player 1 round score of round 16: 400
2023-02-01 23:05:34.186 [main] INFO  pk.Game - Player 1 total score: 6300
2023-02-01 23:05:34.186 [main] INFO  pk.Game -  
2023-02-01 23:05:34.186 [main] INFO  pk.Game - Player 2 turn
2023-02-01 23:05:34.186 [main] INFO  pk.Game - Player 2 card: NOP
2023-02-01 23:05:34.186 [main] INFO  pk.Game - Initial roll: [SABER, PARROT, SABER, SABER, GOLD, GOLD, PARROT, SABER]
2023-02-01 23:05:34.186 [main] INFO  pk.Game - After reroll: [DIAMOND, GOLD, SKULL, PARROT, PARROT, SKULL, MONKEY, MONKEY]
2023-02-01 23:05:34.186 [main] INFO  pk.Game - Player 2 round score of round 16: 200
2023-02-01 23:05:34.187 [main] INFO  pk.Game - Player 2 total score: 400
2023-02-01 23:05:34.187 [main] INFO  pk.Game - Player 1 win !
2023-02-01 23:05:34.187 [main] INFO  pk.Game - ------------------------------ GAME 2 ------------------------------
2023-02-01 23:05:34.187 [main] INFO  pk.Game -  
2023-02-01 23:05:34.187 [main] INFO  pk.Game - ------------------------------ round 1 ------------------------------
2023-02-01 23:05:34.187 [main] INFO  pk.Game - Player 1 turn
2023-02-01 23:05:34.187 [main] INFO  pk.Game - Player 1 draw a card: NOP
2023-02-01 23:05:34.187 [main] INFO  pk.Game - Initial roll: [SABER, MONKEY, GOLD, SKULL, SABER, DIAMOND, PARROT, SKULL]
2023-02-01 23:05:34.187 [main] INFO  pk.Game - The number of skulls is: 2
2023-02-01 23:05:34.187 [main] INFO  pk.Game - player decide to Hold: [SABER, SKULL, SABER, SKULL]
2023-02-01 23:05:34.187 [main] INFO  pk.Game - player decide to Reroll: [MONKEY, GOLD, DIAMOND, PARROT]
2023-02-01 23:05:34.187 [main] INFO  pk.Game - After reroll: [SABER, SKULL, SABER, SKULL, SABER, SKULL, MONKEY, MONKEY]
